time, Quad.Est.E.Pos, Quad.Est.S.Z
3.074960,0.236084,0.300933
3.079959,0.235746,0.301046
3.084959,0.235230,0.301217
3.089958,0.234925,0.301332
3.094958,0.234404,0.301505
3.099958,0.234031,0.301621
3.104957,0.216546,0.299024
3.109957,0.216310,0.299129
3.114957,0.215879,0.299288
3.119956,0.215599,0.299395
3.124956,0.215132,0.299555
3.129956,0.214823,0.299663
3.134955,0.214360,0.299825
3.139955,0.214035,0.299934
3.144954,0.213563,0.300098
3.149954,0.213255,0.300208
3.154954,0.212770,0.300374
3.159953,0.212430,0.300485
3.164953,0.211932,0.300653
3.169953,0.211576,0.300765
3.174952,0.211093,0.300934
3.179952,0.210808,0.301048
3.184952,0.210375,0.301219
3.189951,0.210121,0.301334
3.194951,0.209678,0.301506
3.199950,0.209361,0.301622
3.204950,0.200922,0.299026
3.209950,0.200744,0.299131
3.214949,0.200512,0.299290
3.219949,0.200317,0.299397
3.224949,0.200063,0.299557
3.229948,0.199889,0.299665
3.234948,0.199646,0.299827
3.239948,0.199473,0.299936
3.244947,0.199233,0.300100
3.249947,0.199064,0.300210
3.254946,0.198834,0.300376
3.259946,0.198626,0.300487
3.264946,0.198381,0.300655
3.269945,0.198241,0.300767
3.274945,0.197999,0.300936
3.279945,0.197831,0.301050
3.284944,0.197598,0.301221
3.289944,0.197442,0.301335
3.294944,0.197193,0.301508
3.299943,0.197127,0.301624
3.304943,0.142185,0.299028
3.309942,0.141788,0.299133
3.314942,0.141263,0.299292
3.319942,0.140926,0.299399
3.324941,0.140405,0.299559
3.329941,0.140097,0.299667
3.334941,0.139539,0.299829
3.339940,0.139163,0.299938
3.344940,0.138595,0.300102
3.349940,0.138212,0.300212
3.354939,0.137654,0.300378
3.359939,0.137307,0.300489
3.364938,0.136759,0.300656
3.369938,0.136388,0.300768
3.374938,0.135846,0.300938
3.379937,0.135525,0.301051
3.384937,0.135008,0.301222
3.389937,0.134637,0.301337
3.394936,0.134130,0.301509
3.399936,0.133799,0.301625
3.404936,0.157630,0.299030
3.409935,0.157544,0.299135
3.414935,0.157579,0.299294
3.419935,0.157611,0.299400
3.424934,0.157677,0.299561
3.429934,0.157727,0.299669
3.434933,0.157784,0.299831
3.439933,0.157807,0.299940
3.444933,0.157860,0.300104
3.449932,0.157928,0.300213
3.454932,0.158031,0.300379
3.459932,0.158111,0.300490
3.464931,0.158193,0.300658
3.469931,0.158244,0.300770
3.474931,0.158309,0.300939
3.479930,0.158356,0.301052
3.484930,0.158458,0.301223
3.489929,0.158529,0.301338
3.494929,0.158636,0.301511
3.499929,0.158709,0.301627
3.504928,0.152801,0.299032
3.509928,0.153347,0.299137
3.514928,0.154170,0.299296
3.519927,0.154709,0.299402
3.524927,0.155530,0.299563
3.529927,0.156081,0.299670
3.534926,0.156924,0.299832
3.539926,0.157463,0.299941
3.544925,0.158256,0.300105
3.549925,0.158794,0.300215
3.554925,0.159588,0.300381
3.559924,0.160120,0.300492
3.564924,0.160916,0.300659
3.569924,0.161423,0.300771
3.574923,0.162197,0.300940
3.579923,0.162655,0.301054
3.584923,0.163395,0.301225
3.589922,0.163854,0.301339
3.594922,0.164582,0.301512
3.599921,0.165116,0.301628
3.604921,0.170975,0.299033
3.609921,0.170748,0.299138
3.614920,0.170536,0.299297
3.619920,0.170468,0.299404
3.624920,0.170275,0.299564
3.629919,0.170154,0.299672
3.634919,0.169923,0.299834
3.639919,0.169753,0.299943
3.644918,0.169501,0.300106
3.649918,0.169404,0.300216
3.654917,0.169206,0.300382
3.659917,0.169132,0.300493
3.664917,0.168944,0.300660
3.669916,0.168686,0.300772
3.674916,0.168470,0.300942
3.679916,0.168210,0.301055
3.684915,0.167964,0.301226
3.689915,0.167887,0.301340
3.694915,0.167686,0.301513
3.699914,0.167619,0.301629
3.704914,0.136227,0.299035
3.709913,0.136372,0.299140
3.714913,0.136435,0.299299
3.719913,0.136327,0.299405
3.724912,0.136406,0.299566
3.729912,0.136444,0.299673
3.734912,0.136479,0.299835
3.739911,0.136487,0.299944
3.744911,0.136486,0.300108
3.749911,0.136405,0.300218
3.754910,0.136370,0.300383
3.759910,0.136306,0.300494
3.764910,0.136208,0.300662
3.769909,0.136366,0.300774
3.774909,0.136365,0.300943
3.779908,0.136637,0.301056
3.784908,0.136692,0.301227
